OBJECTID,Addr_Comm,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
100,XÃ TÂN THỊNH,6,9,7,8,9,13,10,7,8,7
101,XÃ NAM CƯỜNG,12,12,12,10,11,8,8,6,11,6
102,XÃ NAM HỒNG,6,6,6,2,1,8,5,6,5,4
103,XÃ NAM HÙNG,7,7,7,11,4,7,4,8,4,4
104,XÃ NAM HOA,7,6,4,4,5,5,5,3,1,4
105,XÃ NAM DƯƠNG,9,5,11,12,6,11,11,3,3,7
106,XÃ NAM THANH,6,6,8,6,15,6,7,2,2,6
107,XÃ NAM LỢI,4,6,4,3,5,5,4,4,2,6
108,XÃ BÌNH MINH,4,8,3,5,11,15,5,8,5,5
109,XÃ ĐỒNG SƠN,10,19,9,11,7,11,13,9,12,7
110,XÃ NAM TIẾN,10,11,4,9,10,5,13,5,4,6
111,XÃ NAM HẢI,4,2,5,2,6,4,2,2,6,3
112,XÃ NAM THÁI,10,9,8,4,5,7,3,7,6,7
113,THỊ TRẤN CÁT THÀNH,13,18,7,10,19,23,21,20,10,6
114,THỊ TRẤN CỔ LỄ,13,14,19,13,9,12,5,8,12,14
115,XÃ PHƯƠNG ĐỊNH,8,7,20,26,18,17,18,14,13,15
116,XÃ TRỰC CHÍNH,3,8,6,8,7,3,6,5,6,5
117,XÃ TRUNG ĐÔNG,7,11,9,18,17,12,10,13,8,4
118,XÃ LIÊM HẢI,13,7,10,12,11,13,10,0,6,8
119,XÃ TRỰC TUẤN,3,8,4,2,9,7,5,4,3,6
120,XÃ VIỆT HÙNG,14,9,12,4,12,7,12,10,2,5
121,XÃ TRỰC ĐẠO,6,6,4,5,5,7,5,4,2,1
122,XÃ TRỰC HƯNG,1,1,5,3,6,2,4,5,2,0
123,XÃ TRỰC NỘI,4,5,2,1,4,6,3,1,1,7
124,XÃ TRỰC THANH,3,5,6,7,6,10,2,4,1,6
125,XÃ TRỰC KHANG,4,5,2,2,2,5,2,3,2,6
126,XÃ TRỰC THUẬN,4,3,5,4,3,4,8,7,7,8
127,XÃ TRỰC MỸ,3,3,5,4,2,6,6,2,4,3
128,XÃ TRỰC ĐẠI,9,9,14,13,15,17,17,10,11,15
129,XÃ TRỰC CƯỜNG,4,6,2,5,6,5,5,7,6,12
130,THỊ TRẤN NINH CƯỜNG,3,8,4,6,7,10,5,4,3,5
131,XÃ TRỰC THÁI,6,10,11,10,2,10,10,11,8,7
132,XÃ TRỰC HÙNG,7,7,7,6,8,9,7,6,9,6
133,XÃ TRỰC THẮNG,6,5,7,6,5,9,7,6,6,3
134,THỊ TRẤN XUÂN TRƯỜNG,4,8,5,8,4,3,6,4,8,9
135,XÃ XUÂN CHÂU,7,10,8,6,6,6,5,7,2,7
136,XÃ XUÂN HỒNG,13,11,6,11,6,10,14,14,9,12
137,XÃ XUÂN THÀNH,5,5,4,5,6,2,3,1,7,5
138,XÃ XUÂN THƯỢNG,2,4,5,7,5,3,4,2,8,2
139,XÃ XUÂN PHONG,7,11,9,11,10,5,14,9,7,7
140,XÃ XUÂN ĐÀI,9,7,11,11,9,5,5,9,6,4
141,XÃ XUÂN TÂN,2,4,7,4,5,5,3,3,2,5
142,XÃ XUÂN THỦY,0,5,4,2,8,3,8,1,0,3
143,XÃ XUÂN NGỌC,5,3,5,6,4,7,6,7,5,5
144,XÃ XUÂN BẮC,3,7,2,5,5,5,6,2,5,5
145,XÃ XUÂN PHƯƠNG,6,5,5,5,2,1,8,1,1,2
146,XÃ THỌ NGHIỆP,21,17,13,11,8,15,12,14,7,8
147,XÃ XUÂN PHÚ,11,7,9,11,10,11,15,5,4,6
148,XÃ XUÂN TRUNG,4,4,4,6,5,5,6,4,2,3
149,XÃ XUÂN VINH,2,7,11,14,11,13,5,6,5,8
150,XÃ XUÂN KIÊN,3,1,1,5,6,3,2,0,4,4
151,XÃ XUÂN TIẾN,6,5,6,8,13,7,3,7,8,6
152,XÃ XUÂN NINH,10,6,15,9,11,13,11,10,6,11
153,XÃ XUÂN HÒA,5,6,7,3,10,12,7,5,6,5
154,THỊ TRẤN NGÔ ĐỒNG,3,4,3,6,6,2,7,5,2,2
155,THỊ TRẤN QUẤT LÂM,6,3,8,3,4,9,9,9,2,4
156,XÃ HỒNG THUẬN,13,8,12,16,10,14,10,12,12,8
158,XÃ HOÀNH SƠN,6,5,7,4,10,2,8,2,7,6
159,XÃ BÌNH HÒA,6,7,8,7,7,4,4,8,7,3
160,XÃ GIAO TIẾN,13,6,8,5,9,9,18,7,10,8
161,XÃ GIAO HÀ,11,8,9,8,8,8,8,10,5,8
162,XÃ GIAO NHÂN,4,4,2,8,2,6,4,4,3,1
165,XÃ GIAO LẠC,9,6,9,13,13,10,8,6,5,11
166,XÃ GIAO CHÂU,6,8,7,8,8,6,7,4,6,6
167,XÃ GIAO TÂN,6,2,5,4,6,3,4,1,4,2
