Addr_Comm,2017,2018,2019,2020,2021,2022
THỊ TRẤN NINH CƯỜNG,7,10,5,4,3,5
THỊ TRẤN QUẤT LÂM,4,9,9,9,2,4
THỊ TRẤN QUỸ NHẤT,5,3,3,4,5,6
THỊ TRẤN RẠNG ĐÔNG,5,5,2,4,2,2
THỊ TRẤN THỊNH LONG,13,9,8,7,6,4
THỊ TRẤN XUÂN TRƯỜNG,4,3,6,4,8,9
THỊ TRẤN YÊN ĐỊNH,12,3,5,5,6,2
THỌ NGHIỆP,8,15,12,14,7,8
PHƯỜNG THỐNG NHẤT,7,7,8,7,4,3
TRUNG THÀNH,10,3,12,2,4,1
TRUNG ĐÔNG,17,12,10,13,8,4
PHƯỜNG TRƯỜNG THI,13,9,15,12,9,11
PHƯỜNG TRẦN HƯNG ĐẠO,7,11,10,5,2,4
PHƯỜNG TRẦN QUANG KHẢI,8,20,9,15,11,10
PHƯỜNG TRẦN TẾ XƯƠNG,13,18,8,15,5,19
PHƯỜNG TRẦN ĐĂNG NINH,11,7,9,6,5,10
TRỰC CHÍNH,7,3,6,5,6,5
TRỰC CƯỜNG,6,5,5,7,6,12
TRỰC HÙNG,8,9,7,6,9,6
TRỰC HƯNG,6,2,4,5,2,0
TRỰC KHANG,2,5,2,3,2,6
TRỰC MỸ,2,6,6,2,4,3
TRỰC NỘI,4,6,3,1,1,7
TRỰC THANH,6,10,2,4,1,6
TRỰC THUẬN,3,4,8,7,7,8
TRỰC THÁI,2,10,10,11,8,7
TRỰC THẮNG,5,9,7,6,6,3
TRỰC TUẤN,9,7,5,4,3,6
TRỰC ĐẠI,15,17,17,10,11,15
TRỰC ĐẠO,5,7,5,4,2,1
TÂN KHÁNH,10,6,6,6,4,2
TÂN THÀNH,3,2,3,5,2,2
TÂN THỊNH,9,13,10,7,8,7
VIỆT HÙNG,12,7,12,10,2,5
PHƯỜNG VĂN MIẾU,6,7,13,4,10,10
VĨNH HÀO,4,3,7,6,6,1
PHƯỜNG VỊ HOÀNG,9,9,11,5,7,6
PHƯỜNG VỊ XUYÊN,10,7,5,3,2,11
XUÂN BẮC,5,5,6,2,5,5
XUÂN CHÂU,6,6,5,7,2,7
XUÂN HÒA,10,12,7,5,6,5
XUÂN HỒNG,6,10,14,14,9,12
XUÂN KIÊN,6,3,2,0,4,4
XUÂN NGỌC,4,7,6,7,5,5
XUÂN NINH,11,13,11,10,6,11
XUÂN PHONG,10,5,14,9,7,7
XUÂN PHÚ,10,11,15,5,4,6
XUÂN PHƯƠNG,2,1,8,1,1,2
XUÂN THÀNH,6,2,3,1,7,5
XUÂN THƯỢNG,5,3,4,2,8,2
XUÂN THỦY,8,3,8,1,0,3
XUÂN TIẾN,13,7,3,7,8,6
XUÂN TRUNG,5,5,6,4,2,3
XUÂN TÂN,5,5,3,3,2,5
XUÂN VINH,11,13,5,6,5,8
XUÂN ĐÀI,9,5,5,9,6,4
YÊN BÌNH,16,10,13,9,4,4
YÊN BẰNG,9,3,9,5,3,6
YÊN CHÍNH,13,6,9,8,4,4
YÊN CƯỜNG,9,10,10,6,3,10
YÊN DƯƠNG,6,2,15,2,3,2
YÊN HƯNG,5,6,5,7,3,3
YÊN HỒNG,13,8,12,4,7,4
YÊN KHANG,6,5,7,4,4,1
YÊN KHÁNH,15,9,5,10,4,3
YÊN LƯƠNG,5,8,8,5,3,4
YÊN LỘC,12,14,9,3,4,6
YÊN LỢI,5,2,5,4,4,5
YÊN MINH,7,9,8,3,1,10
YÊN MỸ,8,12,5,5,5,4
YÊN NGHĨA,11,3,4,2,6,1
YÊN NHÂN,19,9,12,8,5,5
YÊN NINH,12,10,9,6,3,10
YÊN PHONG,14,9,12,8,7,5
YÊN PHÚ,9,8,6,8,8,1
YÊN PHÚC,8,11,6,6,5,4
YÊN PHƯƠNG,4,2,4,2,1,2
YÊN QUANG,1,1,3,1,1,3
YÊN THÀNH,6,3,3,8,3,4
YÊN THẮNG,5,7,12,11,2,7
YÊN THỌ,6,9,9,7,4,4
YÊN TIẾN,10,12,10,8,8,9
YÊN TRUNG,2,8,8,4,5,4
YÊN TRỊ,11,5,19,10,13,13
YÊN TÂN,5,9,7,2,7,4
YÊN ĐỒNG,8,7,12,8,7,9
ĐIỀN XÁ,7,10,10,3,7,9
ĐẠI AN,9,4,10,6,5,5
ĐẠI THẮNG,8,7,6,7,4,3
ĐỒNG SƠN,7,11,13,9,12,7
